Competition,Home,Away,Date,Time,HGFT,AGFT,HG1st,AG1st,HG2nd,AG2nd,HGET,AGET,HGP,HGP,Finished,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HxG,AxG,bet365-H,bet365-D,bet365-A,Betfair_Exch-H,Betfair_Exch-D,Betfair_Exch-A,H-Max,D-Max,A-Max,H-Avg,D-Avg,A-Avg
World Cup 2026,Senegal,Iraq,2026-06-26 00:00:00,20:00:00,5,,1,,4,,,,,,90 minutes,28,6,12,1,10,11,12,3,2,2,,1,3.01,0.14,1.2,7,12,1.23,8,14.5,1.23,7.5,15,1.2,6.88,13.06
World Cup 2026,Cape Verde,Saudi Arabia,2026-06-27 00:00:00,01:00:00,,,,,,,,,,,90 minutes,15,7,2,3,10,16,4,2,1,3,,,1.39,0.39,2.5,3.3,2.88,2.7,3.6,2.8,2.74,3.5,2.88,2.55,3.29,2.72
World Cup 2026,Uruguay,Spain,2026-06-27 00:00:00,01:00:00,,1,,1,,,,,,,90 minutes,5,6,1,1,14,14,1,6,3,1,1,,0.2,0.86,6,3.6,1.65,6.4,3.75,1.71,6.25,3.75,1.7,5.65,3.59,1.65
World Cup 2026,Egypt,Iran,2026-06-27 00:00:00,04:00:00,1,1,1,1,,,,,,,90 minutes,15,13,3,4,11,16,8,2,3,4,,,0.84,1.97,2.63,2.63,3.4,2.68,2.82,3.65,2.7,2.8,3.66,2.58,2.64,3.38
World Cup 2026,New Zealand,Belgium,2026-06-27 00:00:00,04:00:00,1,5,,1,1,4,,,,,90 minutes,6,35,2,10,10,7,5,8,2,,,,0.24,3.64,13,8.5,1.17,15.5,9.2,1.2,15,9,1.19,13.28,8.14,1.17
World Cup 2026,Croatia,Ghana,2026-06-27 00:00:00,22:00:00,2,1,1,,1,1,,,,,90 minutes,8,6,4,1,9,13,3,2,1,1,,,0.42,0.64,1.8,3.1,5.75,1.84,3.3,6.2,1.87,3.35,5.75,1.79,3.16,5.39
World Cup 2026,Panama,England,2026-06-27 00:00:00,22:00:00,,2,,,,2,,,,,90 minutes,13,17,2,6,16,13,3,7,2,1,,,0.66,1.57,17,8.5,1.14,23,9.4,1.17,20,9.5,1.17,16.53,8.45,1.14
World Cup 2026,Colombia,Portugal,2026-06-28 00:00:00,00:30:00,,,,,,,,,,,90 minutes,24,13,6,2,12,6,5,2,1,,,,1.7,0.92,4,4,1.8,4.3,4.1,1.89,4,4,1.9,3.83,3.84,1.84
World Cup 2026,D.R. Congo,Uzbekistan,2026-06-28 00:00:00,00:30:00,3,1,,1,3,,,,,,90 minutes,19,3,4,1,6,16,2,4,3,2,,,2.17,0.2,1.67,3.8,5.25,1.71,4,5.7,1.68,4,5.5,1.64,3.79,5.23
World Cup 2026,Algeria,Austria,2026-06-28 00:00:00,03:00:00,3,3,1,1,2,2,,,,,90 minutes,12,10,5,3,3,7,,3,,1,,,1.67,1.49,3.5,2.05,3.6,3.7,2.14,3.75,3.55,2.15,3.75,3.33,2.09,3.45
